Abayomi, Kobi A., PhD in Mathematical Statistics – Columbia University, Assistant Professor, Stewart School of Industrial and Systems Engineering
Abdel–Khalik, Said I., PhD in Mechanical Engineering – University of Wisconsin–Madison, Professor, Woodruff School of Mechanical Engineering
Adibi, Ali, PhD in Electrical Engineering – California Institute of Technology, Professor, School of Electrical and Computer Engineering
Agrawal, Pradeep K., PhD in Chemical Engineering – University of Delaware, Associate Chair, School of Chemical and Biomolecular Engineering
Ahmed, Shabbir, PhD in Industrial Engineering – University of Illinois–Urbana Champaign, Associate Professor, School of Industrial and Systems Engineering
Ahuja, Krishan K., PhD in Mechanical Engineering – Syracuse University, Regents' Professor, Guggenheim School of Aerospace Engineering
Aidun, Cyrus K., PhD in Mechanical Engineering – Clarkson University, Professor, Woodruff School of Mechanical Engineering
Akyildiz, Ian F., PhD in Computer and Information Science – University of Erlangen–Nuremberg, Professor, School of Electrical and Computer Engineering
Alamgir, Faisal M., PhD in Materials Science – Lehigh University, Assistant Professor, School of Materials Science and Engineering
Alexeev, Alexander, PhD in Mechanical Engineering – Technion Israel Institute of Technology, Assistant Professor, Woodruff School of Mechanical Engineering
Alexopoulos, Christos, PhD in Operations Research – University of North Carolina–Charlotte, Associate Professor, Stewart School of Industrial and Systems Engineering
Allen, Mark G., PhD in Chemical Engineering – Massachusetts Institute of Technology, Senior Vice Provost, Provost and Executive Vice President Academic Affairs
Allen, Sue Ann Bidstrup, PhD in Chemical Engineering – University of Minnesota–Twin Cities, Professor, School of Chemical and Biomolecular Engineering
Al–Regib, Ghassan, PhD in Electrical Engineering – Georgia Institute of Technology, Associate Professor, Georgia Tech Savannah
Altunbasak, Yucel, PhD in Electrical Engineering – University of Rochester, Professor, School of Electrical and Computer Engineering
Amekudzi, Adjo Akpene, PhD in Civil Engineering – Carnegie Mellon University, Associate Professor, School of Civil and Environmental Engineering
Ammar, Mostafa H., PhD in Electrical Engineering – Massachusetts Institute of Technology, Regents' Professor, School of Computer Science
Ammons, Jane C., PhD in Industrial/Manufacturing Engineering – Georgia Institute of Technology, Associate Dean, College of Engineering
Anderson, David V., PhD in Electrical Engineering – Georgia Institute of Technology, Associate Professor, School of Electrical and Computer Engineering
Andradottir, Sigrun, PhD in Engineering – Stanford University, Professor, Stewart School of Industrial and Systems Engineering
Antoniou, Antonia, PhD in Engineering Mechanics – Iowa State University, Assistant Professor, School of Physics
Apostolico, Alberto, PhD in Electrical Engineering – University of Naples (Italy), Professor, School of Computational Science and Engineering
Aral, Mustafa M., PhD in Fluids and Plasmas – Georgia Institute of Technology, Professor, School of Civil and Environmental Engineering
Ashuri, Baabak, PhD in Engineering – Georgia Institute of Technology, Assistant Professor, School of Building Construction
